Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
12/31/2021,UNK,52,Unknown County,NY,97.6,493723,0,493559,0,489181,0,479526,0,105345,0,333140,0,333108,0,,,330803,0,324902,0,70323,0,91885,27.6,,,,,91763,28.2,65108,40.8,45779,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021,12061,52,Indian River County,FL,98.7,123625,77.3,123603,80.5,122681,85.2,118362,87.7,59499,95,102940,64.4,102936,67.1,,,102397,71.1,98747,73.2,50017,92.4,39026,37.9,,,,,38926,39.4,35168,46.9,26490,53,,,,,B,8,8,,8,8,8,Metro,4,4,,4,4,4,,,,,,,,,159923,153472,,143985,134897,54133,,,,,,,,
12/31/2021,54011,52,Cabell County,WV,97.3,60984,66.3,60965,70.1,59421,74.3,55694,75.4,16360,91.6,53074,57.7,53062,61,,,52082,65.1,48922,66.2,14712,82.3,21044,39.7,,,,,20907,42.7,14520,54,9073,61.7,,,,,C,12,12,,12,12,12,Metro,4,4,,4,4,4,,,,,,,,,91945,87001,,79966,73869,17866,,,,,,,,
12/31/2021,51790,52,Staunton city,VA,80.6,12766,51.2,12766,54.7,12692,58.7,12066,60,4138,77.4,11591,46.5,11591,49.6,,,11548,53.4,11016,54.8,3923,73.4,258,2.2,,,,,258,2.3,213,3.2,129,3.3,,,,,B,7,7,,8,8,8,Metro,3,3,,4,4,4,,,,,,,,,24932,23355,,21616,20109,5345,,,,,,,,
12/31/2021,08101,52,Pueblo County,CO,97.3,100038,59.4,100031,63,97657,67.7,91385,69.8,28589,89.5,90597,53.8,90596,57,,,89213,61.9,83730,63.9,26585,83.3,38385,42.4,,,,,38188,45.6,29440,59.6,18509,69.6,,,,,D,16,16,,16,16,16,Metro,4,4,,4,4,4,,,,,,,,,168424,158872,,144170,131010,31933,,,,,,,,
12/31/2021,08081,52,Moffat County,CO,97.3,6159,46.4,6159,49.8,6066,55,5763,58.2,1610,76.1,5509,41.5,5509,44.5,,,5451,49.5,5197,52.5,1498,70.8,1878,34.1,,,,,1874,36.1,1414,48.3,896,59.8,,,,,C,11,11,,11,12,12,Non-metro,7,7,,7,8,8,,,,,,,,,13283,12374,,11021,9908,2116,,,,,,,,
12/31/2021,20049,52,Elk County,KS,93.7,912,36,912,38.1,909,42.2,872,44.7,417,57,816,32.3,816,34.1,,,814,37.8,786,40.3,387,52.9,328,40.2,,,,,328,41.7,300,53.2,235,60.7,,,,,B,6,6,,6,7,7,Non-metro,6,6,,6,7,7,,,,,,,,,2530,2394,,2154,1950,732,,,,,,,,
12/31/2021,17037,52,DeKalb County,IL,98,61299,58.4,61299,62,59338,65.9,55136,66.9,13153,95,55953,53.3,55953,56.6,,,54609,60.6,50740,61.6,12174,89.8,21240,38,,,,,21092,41.6,14458,57.4,8512,69.9,,,,,B,8,8,,8,8,8,Metro,4,4,,4,4,4,,,,,,,,,104897,98895,,90098,82430,13552,,,,,,,,
12/31/2021,29189,52,St. Louis County,MO,91.3,710353,71.4,710302,75.9,682872,80.2,631373,81.3,181060,95,602184,60.6,602177,64.3,,,583660,68.5,539739,69.5,159390,86.5,233119,38.7,,,,,231284,42.9,163104,53.5,100655,63.2,,,,,B,8,8,,8,8,8,Metro,4,4,,4,4,4,,,,,,,,,994205,936131,,851783,776354,184280,,,,,,,,
12/31/2021,29159,52,Pettis County,MO,91.3,19783,46.7,19782,50.1,19588,55.4,18616,58.4,5649,78,17185,40.6,17185,43.6,,,17066,48.2,16268,51,5078,70.1,5391,31.4,,,,,5379,33.1,4476,47.3,2954,58.2,,,,,D,15,15,,15,16,16,Non-metro,7,7,,7,8,8,,,,,,,,,42339,39456,,35385,31898,7244,,,,,,,,
12/31/2021,28149,52,Warren County,MS,98.3,27859,61.4,27856,65.6,27583,71.8,25569,73.7,7318,93.5,24580,54.2,24578,57.9,,,24417,63.5,22695,65.4,6726,85.9,6568,26.7,,,,,6551,28.9,5447,40.2,3525,52.4,,,,,D,16,16,,16,16,16,Non-metro,8,8,,8,8,8,,,,,,,,,45381,42468,,38433,34677,7826,,,,,,,,
12/31/2021,45005,52,Allendale County,SC,93.9,5610,64.6,5605,67.9,5544,72.7,5279,75.1,1588,87.3,4774,54.9,4770,57.8,,,4749,62.3,4548,64.7,1383,76.1,1297,27.2,,,,,1297,28.5,1128,42.4,751,54.3,,,,,D,16,16,,16,16,16,Non-metro,8,8,,8,8,8,,,,,,,,,8688,8259,,7623,7033,1818,,,,,,,,
12/31/2021,13065,52,Clinch County,GA,59.8,2521,38.1,2521,40.7,2507,45.5,2410,48.6,740,66.7,2149,32.5,2149,34.7,,,2142,38.8,2072,41.8,657,59.2,423,19.7,,,,,420,20.3,342,27.1,228,34.7,,,,,D,14,14,,14,15,15,Non-metro,6,6,,6,7,7,,,,,,,,,6618,6195,,5515,4958,1110,,,,,,,,
12/31/2021,25007,52,Dukes County,MA,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,Non-metro,,,,,,,,,,,,,,,17332,16489,,15293,14247,4346,,,,,,,,
